URL,Core Vitals Assessment,First Contentful Paint (FCP),Largest Contentful Paint (LCP),Cumulative Layout Shift (CLS),Total Blocking Time (TBT),Speed Index,Timestamp (UTC)
https://www.anxietyuk.org.uk/products/fact-sheet/fact-sheets-downloadable/children-and-anxiety-fact-sheet-instant-download/,SLOW,0.8 s (SLOW),3.7 s (SLOW),0.01 (FAST),"1,210 ms",3.9 s,2025-07-05T14:46:24.445Z
https://www.anxietyuk.org.uk/products/fact-sheet/fact-sheets-downloadable/fear-of-the-dark-children-fact-sheet-instant-download/,SLOW,0.8 s (SLOW),4.7 s (SLOW),0.009 (FAST),"1,150 ms",3.6 s,2025-07-05T13:01:34.580Z
https://www.anxietyuk.org.uk/products/fact-sheet/fact-sheets-downloadable/school-phobia-fact-sheet-instant-download/,SLOW,0.9 s (SLOW),3.3 s (SLOW),0.006 (FAST),670 ms,3.4 s,2025-07-05T13:02:19.085Z
https://www.anxietyuk.org.uk/products/anxiety-condition/anxiety/nutrition-and-anxiety-a-self-help-guide/,SLOW,0.8 s (SLOW),8.5 s (SLOW),0.009 (FAST),730 ms,4.5 s,2025-07-05T13:02:55.982Z
https://www.anxietyuk.org.uk/blog/research-highlights-shift-workers-meal-times-affect-mood-guest-blog/,SLOW,1.0 s (SLOW),1.3 s (SLOW),0.051 (FAST),440 ms,2.9 s,2025-07-05T13:03:36.562Z
https://www.anxietyuk.org.uk/get-involved/blogs/write-for-us/,SLOW,0.8 s (SLOW),3.8 s (SLOW),0.002 (FAST),"1,230 ms",5.6 s,2025-07-05T13:04:11.593Z
https://www.anxietyuk.org.uk/blog/how-health-anxiety-can-be-managed/,SLOW,1.0 s (SLOW),1.4 s (SLOW),0.01 (FAST),550 ms,3.1 s,2025-07-05T13:05:00.907Z
https://www.anxietyuk.org.uk/blog/living-with-anxiety-and-ptsd/,SLOW,0.8 s (SLOW),1.7 s (SLOW),0.004 (FAST),490 ms,2.7 s,2025-07-05T13:05:35.195Z
https://www.anxietyuk.org.uk/blog/seeking-help-for-anxiety/,SLOW,0.8 s (SLOW),1.2 s (SLOW),0.245 (FAST),430 ms,2.6 s,2025-07-05T13:06:08.199Z
https://www.anxietyuk.org.uk/blog/breathing-for-anxiety/,SLOW,0.8 s (SLOW),1.9 s (SLOW),0.002 (FAST),700 ms,2.7 s,2025-07-05T13:06:40.014Z
https://www.anxietyuk.org.uk/blog/understanding-the-symptoms-of-anxiety/,SLOW,1.0 s (SLOW),1.3 s (SLOW),0.282 (FAST),680 ms,2.7 s,2025-07-05T13:07:19.563Z
https://www.anxietyuk.org.uk/trainee-placement-application-form/,SLOW,1.0 s (SLOW),2.0 s (SLOW),0.589 (FAST),640 ms,2.8 s,2025-07-05T13:07:55.624Z
